ID,NOC,Season,Sport,years,newid
1,CHN,Summer,Basketball,,
2,CHN,Summer,Judo,,
3,DEN,Summer,Football,,
4,DEN,Summer,Tug-Of-War,,
5,NED,Winter,Speed Skating,,
6,USA,Winter,Cross Country Skiing,,
7,USA,Winter,Cross Country Skiing,,
8,NED,Summer,Athletics,,
9,FIN,Winter,Ice Hockey,,
10,FIN,Summer,Swimming,,
11,FIN,Winter,Cross Country Skiing,,
12,FIN,Summer,Badminton,,
13,FIN,Summer,Sailing,,
14,FIN,Winter,Biathlon,,
15,FIN,Summer,Swimming,,
16,FIN,Winter,Ice Hockey,,
17,FIN,Summer,Gymnastics,,
18,FIN,Summer,Athletics,,
19,FIN,Summer,Art Competitions,,
20,NOR,Winter,Alpine Skiing,,
21,NOR,Summer,Handball,,
22,ROU,Summer,Weightlifting,,
23,NOR,Summer,Wrestling,,
24,NOR,Winter,Speed Skating,,
25,NOR,Summer,Gymnastics,,
26,NOR,Winter,Luge,,
27,NED,Summer,Water Polo,,
28,NOR,Summer,Sailing,,
29,NED,Summer,Hockey,,
30,NED,Summer,Rowing,,
31,EST,Summer,Athletics,,
32,NOR,Summer,Athletics,,
33,FIN,Summer,Sailing,,
34,FRA,Summer,Athletics,,
35,NOR,Winter,Bobsleigh,,
36,NED,Summer,Swimming,,
37,NOR,Summer,Football,,
38,NOR,Summer,Gymnastics,,
39,NOR,Summer,Fencing,,
40,NOR,Winter,Speed Skating,,
41,NOR,Summer,Football,,
42,NOR,Summer,Sailing,,
43,NOR,Summer,Equestrianism,,
44,EST,Winter,Cross Country Skiing,,
45,NOR,Summer,Shooting,,
46,NOR,Summer,Shooting,,
47,NOR,Summer,Athletics,,
48,MAR,Summer,Boxing,,
49,EST,Summer,Athletics,,
50,EST,Summer,Wrestling,,
51,ESP,Summer,Gymnastics,,
52,FRA,Summer,Athletics,,
53,EGY,Summer,Taekwondo,,
54,IRI,Summer,Boxing,,
55,ESP,Summer,Athletics,,
56,FRA,Summer,Cycling,,
57,BUL,Summer,Boxing,,
58,BUL,Summer,Cycling,,
59,BUL,Summer,Weightlifting,,
60,BUL,Summer,Weightlifting,,
61,BUL,Summer,Football,,
62,ITA,Summer,Rowing,,
63,ESP,Summer,Fencing,,
64,CHA,Summer,Judo,,
65,AZE,Summer,Taekwondo,,
66,SUD,Summer,Boxing,,
67,RUS,Summer,Athletics,,
68,ARG,Summer,Swimming,,
69,ESP,Summer,Basketball,,
70,CUB,Summer,Diving,,
71,CUB,Summer,Canoeing,,
72,BLR,Summer,Canoeing,,
73,FRA,Summer,Handball,,
74,ARG,Summer,Rowing,,
75,GRE,Summer,Fencing,,
76,CMR,Summer,Football,,
77,CMR,Summer,Boxing,,
78,TUR,Summer,Judo,,
79,CHI,Summer,Boxing,,
80,ESP,Summer,Water Polo,,
81,GRE,Summer,Football,,
82,MEX,Summer,Tennis,,
83,CHI,Summer,Shooting,,
84,USA,Summer,Wrestling,,
85,ESP,Summer,Sailing,,
86,ESP,Summer,Athletics,,
87,URS,Summer,Wrestling,,
88,URS,Summer,Athletics,,
89,CHI,Summer,Rowing,,
90,RUS,Summer,Cycling,,
91,ITA,Summer,Athletics,,
92,ITA,Summer,Football,,
93,FRA,Summer,Handball,,
94,CHI,Summer,Shooting,,
95,GRE,Summer,Athletics,,
96,NCA,Summer,Athletics,,
97,NCA,Summer,Athletics,,
98,MEX,Summer,Fencing,,
99,HUN,Summer,Fencing,,
100,HUN,Summer,Swimming,,
101,NGR,Summer,Boxing,,
102,EGY,Summer,Football,,
103,ITA,Summer,Modern Pentathlon,,
104,CHA,Summer,Athletics,,
105,ALG,Summer,Boxing,,
106,ITA,Summer,Rowing,,
107,ITA,Summer,Rowing,,
108,ITA,Summer,Rowing,,
109,KUW,Summer,Athletics,,
110,BRN,Summer,Athletics,,
111,PAK,Summer,Athletics,,
112,IRQ,Summer,Weightlifting,,
113,IRQ,Summer,Football,,
114,KUW,Summer,Athletics,,
115,PAK,Summer,Athletics,,
116,UAR,Summer,Weightlifting,,
117,LIB,Summer,Athletics,,
118,EGY,Summer,Cycling,,
119,EGY,Summer,Diving,,
120,IRQ,Summer,Swimming,,
121,PAK,Winter,Alpine Skiing,,
122,QAT,Summer,Weightlifting,,
123,PAK,Summer,Hockey,,
124,EGY,Summer,Basketball,,
125,MAS,Summer,Hockey,,
126,IRI,Winter,Alpine Skiing,,
127,PAK,Summer,Hockey,,
128,IRI,Summer,Rowing,,
129,AZE,Summer,Athletics,,
130,AZE,Summer,Swimming,,
131,AZE,Summer,Weightlifting,,
132,ITA,Summer,Water Polo,,
133,GER,Summer,Gymnastics,,
134,ITA,Summer,Football,,
135,NED,Summer,Handball,,
136,ITA,Summer,Basketball,,
137,ITA,Winter,Figure Skating,,
138,IRQ,Summer,Weightlifting,,
139,GRE,Summer,Football,,
140,CAN,Summer,Sailing,,
141,IRL,Summer,Equestrianism,,
142,USA,Summer,Athletics,,
143,AUS,Summer,Hockey,,
144,RSA,Summer,Hockey,,
145,USA,Winter,Figure Skating,,
146,CAN,Summer,Canoeing,,
147,CAN,Summer,Sailing,,
148,CAN,Summer,Sailing,,
149,USA,Summer,Cycling,,
150,USA,Summer,Golf,,
151,USA,Summer,Golf,,
152,CAN,Summer,Sailing,,
153,USA,Summer,Softball,,
154,MAR,Summer,Archery,,
155,EGY,Summer,Wrestling,,
156,EGY,Summer,Volleyball,,
157,EGY,Summer,Handball,,
158,EGY,Summer,Taekwondo,,
159,EGY,Summer,Synchronized Swimming,,
160,ERI,Summer,Athletics,,
161,EGY,Summer,Volleyball,,
162,EGY,Summer,Handball,,
163,UAR,Summer,Gymnastics,,
164,EGY,Summer,Fencing,,
165,USA,Summer,Taekwondo,,
166,TAN,Summer,Athletics,,
167,FRA,Summer,Athletics,,
168,KUW,Summer,Athletics,,
169,JOR,Summer,Athletics,,
170,EGY,Summer,Diving,,
171,EGY,Summer,Volleyball,,
172,EGY,Summer,Shooting,,
173,SUD,Summer,Football,,
174,UAR,Summer,Football,,
175,EGY,Summer,Athletics,,
176,UAR,Summer,Athletics,,
177,EGY,Summer,Cycling,,
178,SUD,Summer,Boxing,,
179,SUD,Summer,Athletics,,
180,EGY,Summer,Synchronized Swimming,,
181,EGY,Summer,Synchronized Swimming,,
182,EGY,Summer,Hockey,,
183,UAR,Summer,Rowing,,
184,EGY,Summer,Water Polo,,
185,EGY,Summer,Fencing,,
186,UAR,Summer,Water Polo,,
187,EGY,Summer,Weightlifting,,
188,EGY,Summer,Volleyball,,
189,SUD,Summer,Boxing,,
190,EGY,Summer,Wrestling,,
191,EGY,Summer,Football,,
192,EGY,Summer,Basketball,,
193,EGY,Summer,Water Polo,,
193,EGY,Summer,Swimming,,
194,UAR,Summer,Athletics,,
195,EGY,Summer,Weightlifting,,
196,TUN,Summer,Handball,,
197,EGY,Summer,Wrestling,,
198,EGY,Summer,Handball,,
199,EGY,Summer,Basketball,,
200,EGY,Summer,Handball,,
201,EGY,Summer,Water Polo,,
202,EGY,Summer,Basketball,,
203,EGY,Summer,Volleyball,,
204,LBA,Summer,Athletics,,
205,EGY,Summer,Rowing,,
206,UAR,Summer,Water Polo,,
207,EGY,Summer,Fencing,,
208,EGY,Summer,Boxing,,
209,UAR,Summer,Water Polo,,
210,EGY,Summer,Volleyball,,
211,UAR,Summer,Fencing,,
212,EGY,Summer,Wrestling,,
213,EGY,Summer,Shooting,,
214,EGY,Summer,Football,,
215,EGY,Summer,Fencing,,
216,EGY,Summer,Rowing,,
217,EGY,Summer,Boxing,,
218,EGY,Summer,Boxing,,
219,EGY,Summer,Rowing,,
220,UAR,Summer,Rowing,,
221,EGY,Summer,Handball,,
222,EGY,Summer,Boxing,,
223,EGY,Summer,Gymnastics,,
224,EGY,Summer,Wrestling,,
225,EGY,Summer,Shooting,,
226,SUD,Summer,Football,,
227,EGY,Summer,Volleyball,,
228,EGY,Summer,Boxing,,
229,EGY,Summer,Judo,,
230,EGY,Summer,Gymnastics,,
231,EGY,Summer,Shooting,,
232,EGY,Summer,Weightlifting,,
233,EGY,Summer,Synchronized Swimming,,
234,SUD,Summer,Athletics,,
235,EGY,Summer,Football,,
236,EGY,Summer,Weightlifting,,
237,FRA,Summer,Athletics,,
238,EGY,Summer,Shooting,,
239,ALG,Summer,Football,,
240,EGY,Summer,Synchronized Swimming,,
241,EGY,Summer,Wrestling,,
242,EGY,Summer,Judo,,
243,EGY,Summer,Athletics,,
244,EGY,Summer,Gymnastics,,
245,EGY,Summer,Handball,,
246,EGY,Summer,Volleyball,,
247,ALG,Summer,Athletics,,
248,ALG,Summer,Athletics,,
249,ALG,Summer,Volleyball,,
250,IRI,Summer,Wrestling,,
251,BEL,Summer,Athletics,,
252,AUS,Summer,Athletics,,
253,QAT,Summer,Athletics,,
254,DJI,Summer,Athletics,,
255,EGY,Summer,Fencing,,
256,USA,Summer,Athletics,,
257,AUS,Summer,Wrestling,,
258,PLE,Summer,Swimming,,
259,CAN,Summer,Swimming,,
260,SUD,Summer,Football,,
261,IRI,Summer,Football,,
262,CMR,Summer,Boxing,,
263,COM,Summer,Athletics,,
264,CAN,Summer,Wrestling,,
265,EGY,Summer,Football,,
266,EGY,Summer,Modern Pentathlon,,
267,EGY,Summer,Modern Pentathlon,,
268,CHA,Summer,Athletics,,
269,CMR,Summer,Volleyball,,
270,EGY,Summer,Basketball,,
271,EGY,Summer,Boxing,,
272,KAZ,Summer,Boxing,,
273,BRU,Summer,Athletics,,
274,IRQ,Summer,Athletics,,
275,KUW,Summer,Football,,
276,MAS,Summer,Hockey,,
277,EGY,Summer,Table Tennis,,
278,MAS,Summer,Hockey,,
279,BRU,Summer,Shooting,,
280,SUD,Summer,Swimming,,
281,IND,Summer,Athletics,,
282,IRQ,Summer,Weightlifting,,
283,KSA,Summer,Football,,
284,SYR,Summer,Football,,
285,IRQ,Summer,Weightlifting,,
286,KUW,Summer,Athletics,,
287,IRQ,Summer,Boxing,,
288,QAT,Summer,Athletics,,
289,MDV,Summer,Athletics,,
290,BRN,Summer,Swimming,,
291,KSA,Summer,Football,,
292,IRI,Summer,Water Polo,,
