source,target,value
BEL,Fencing,10
CAN,Bobsleigh,10
CAN,Speed_Skating,10
CUB,Athletics,10
FRA,Canoeing,10
GER,Sailing,10
HUN,Boxing,10
ITA,Bobsleigh,10
ITA,Equestrianism,10
NOR,Alpine_Skiing,10
NZL,Athletics,10
POL,Rowing,10
RUS,Boxing,10
TCH,Canoeing,10
USA,Snowboarding,10
TCH,Canoeing,10
USA,Snowboarding,10
EUN,Swimming,11
FRG,Cycling,11
GBR,Polo,11
GER,Shooting,11
HUN,Athletics,11
INA,Badminton,11
KOR,Badminton,11
KOR,Judo,11
KOR,Wrestling,11
NED,Sailing,11
ROU,Athletics,11
SCG,Volleyball,11
SWE,Tug-Of-War,11
TCH,Athletics,11
SCG,Volleyball,11
SWE,Tug-Of-War,11
TCH,Athletics,11
ARG,Basketball,12
AUS,Rugby_Sevens,12
AUT,Ski_Jumping,12
BAH,Athletics,12
BRA,Sailing,12
BUL,Weightlifting,12
CHN,Short_Track_Speed_Skating,12
DEN,Football,12
ESP,Water_Polo,12
EUN,Athletics,12
EUN,Basketball,12
EUN,Handball,12
FRA,Shooting,12
FRA,Tennis,12
GBR,Alpinism,12
GBR,Cricket,12
GBR,Ice_Hockey,12
KOR,Taekwondo,12
NED,Gymnastics,12
NED,Volleyball,12
NED,Water_Polo,12
NZL,Canoeing,12
POL,Volleyball,12
RUS,Volleyball,12
SVK,Canoeing,12
SWE,Football,12
USA,Beach_Volleyball,12
USA,Golf,12
YUG,Basketball,12
RUS,Volleyball,12
SVK,Canoeing,12
SWE,Football,12
USA,Beach_Volleyball,12
USA,Golf,12
YUG,Basketball,12
AUS,Water_Polo,13
BEL,Cycling,13
CAN,Football,13
CHN,Swimming,13
CRO,Water_Polo,13
FIJ,Rugby_Sevens,13
FRA,Swimming,13
ITA,Alpine_Skiing,13
SRB,Water_Polo,13
URS,Modern_Pentathlon,13
SRB,Water_Polo,13
URS,Modern_Pentathlon,13
BEL,Football,14
DEN,Cycling,14
FRA,Athletics,14
FRA,Judo,14
GDR,Handball,14
GER,Alpine_Skiing,14
ITA,Football,14
NZL,Hockey,14
NZL,Sailing,14
URS,Boxing,14
URS,Boxing,14
ANZ,Rugby,15
ESP,Hockey,15
FIN,Gymnastics,15
FRA,Alpine_Skiing,15
FRA,Rugby,15
FRG,Athletics,15
GER,Ski_Jumping,15
ITA,Boxing,15
ITA,Cross_Country_Skiing,15
JPN,Softball,15
SWE,Cycling,15
ZIM,Hockey,15
SWE,Cycling,15
ZIM,Hockey,15
BUL,Wrestling,16
FIN,Ski_Jumping,16
